mxene_type,electrolyte,areal_capacitance_mf_cm2,specific_capacitance_f_g,volumetric_capacitance_f_cm3,ssa_m2_g,synthesis_method,annealing_temperature_c,scan_rate_mv_s,current_density_a_g,cycling_stability,num_cycles,source_filename,paper_doi,paper_title,extraction_confidence,model_used,extraction_timestamp
Ti3C2Tx,,,,,,,,,,86.0,20000.0,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,,medium,qwen2.5:7b,2026-03-08T14:46:02.495233
,,,,,,,,,,,,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,,medium,qwen2.5:7b,2026-03-08T14:46:02.495251
,,,,,,,,,,,,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495263
V2CTx,,,,,,"HF etching, solvothermal heating",,,,91.0,30000.0,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495271
,3 M KOH,,,,,,,,,,,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495288
,3M KOH,,,,,,,,,,,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495305
,3 M KOH,,480.0,,,MXene-derived,,,,,,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495313
,3 M KOH,,395.0,,,VOSO4-derived,,,,,,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495319
,3 M KOH,,225.0,,,Activated Carbon,,,,,,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495326
,aqueous KOH,,,,,,,,,,,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495333
V2CTx-TMOF,,,888.0,,,,,,1.0,91.0,30000.0,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495339
,KOH,,480.0,,,improved and advanced method utilizing V2CTx MXenes as a direct MOF precursor,,,1.0,,30000.0,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495346
V2CTx-TMOF,KOH,,480.0,,,TMOF,,,1.0,100.0,30000.0,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,Comparative supercapattery performance of the V2CTx-T//AC device with available literature data,medium,qwen2.5:7b,2026-03-08T14:46:02.495353
Ti3C2Tx,,,,,,,,,,97.0,10000.0,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,,medium,qwen2.5:7b,2026-03-08T14:46:02.495372
,,,,,,,,,,100.0,10000.0,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,,medium,qwen2.5:7b,2026-03-08T14:46:02.495380
,,,416.3,,,hydrothermal method,,,0.2,100.0,10000.0,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,,medium,qwen2.5:7b,2026-03-08T14:46:02.495388
,,,553.1,145.1,,,,,0.2,,10000.0,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,,medium,qwen2.5:7b,2026-03-08T14:46:02.495395
