mxene_type,electrolyte,areal_capacitance_mf_cm2,volumetric_capacitance_f_cm3,specific_capacitance_f_g,ssa_m2_g,annealing_temperature_c,scan_rate_mv_s,current_density_a_g,cycling_stability,num_cycles,synthesis_method,source_filename,paper_doi,paper_title,extraction_timestamp,model_used
V2CTx,3 M KOH,,,640.0,971.0,180.0,,1.0,,,Solvothermal,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic framework for ultra-long supercapattery,2026-03-08T15:48:18.759720,gemini-3.1-pro-preview
V2CTx,3 M KOH,,,525.0,,180.0,,1.0,,,Solvothermal,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic framework for ultra-long supercapattery,2026-03-08T15:48:18.759729,gemini-3.1-pro-preview
V2CTx,3 M KOH,,,,971.0,180.0,,5.0,91.0,30000.0,Solvothermal,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic,A MXene-derived tetrathiafulvalene metal–organic framework for ultra-long supercapattery,2026-03-08T15:48:18.759733,gemini-3.1-pro-preview
Ti3C2Tx,1 M H2SO4,320.0,,401.0,,50.0,10.0,20.0,98.0,20000.0,MILD,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene-RuO2 Asymmetric Supercapacitors,2026-03-08T15:48:18.759736,gemini-3.1-pro-preview
Ti3C2Tx,1 M H2SO4,,,350.0,,50.0,100.0,,,,MILD,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene-RuO2 Asymmetric Supercapacitors,2026-03-08T15:48:18.759738,gemini-3.1-pro-preview
Ti3C2Tx,1 M H2SO4,416.0,,200.0,,50.0,,,,,MILD,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene-RuO2 Asymmetric Supercapacitors,2026-03-08T15:48:18.759740,gemini-3.1-pro-preview
Ti3C2Tx,1 M H2SO4,,,93.0,,,50.0,20.0,86.0,20000.0,MILD,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene-RuO2 Asymmetric Supercapacitors,2026-03-08T15:48:18.759747,gemini-3.1-pro-preview
Ti3C2Tx,1 M H2SO4,,,78.0,,,1000.0,,,,MILD,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene-RuO2 Asymmetric Supercapacitors,2026-03-08T15:48:18.759748,gemini-3.1-pro-preview
Ti3C2Tx,PVA/H2SO4 gel,60.0,,,,,5.0,,,,MILD,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene-RuO2 Asymmetric Supercapacitors,2026-03-08T15:48:18.759750,gemini-3.1-pro-preview
Ti3C2Tx,PVA/H2SO4 gel,50.0,,,,,20.0,,,,MILD,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene‐RuO2 Asymmetric Supercapacitors,All Pseudocapacitive MXene-RuO2 Asymmetric Supercapacitors,2026-03-08T15:48:18.759751,gemini-3.1-pro-preview
Ti3C2Tx,PVA/H2SO4,2.4,80.0,,,,2.0,,97.0,10000.0,MILD,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene-Reduced Graphene Oxide Micro-Supercapacitor,2026-03-08T15:48:18.759753,gemini-3.1-pro-preview
Ti3C2Tx,PVA/H2SO4,,,,,,,,95.0,10000.0,MILD,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene-Reduced Graphene Oxide Micro-Supercapacitor,2026-03-08T15:48:18.759755,gemini-3.1-pro-preview
Ti3C2Tx,PVA/H2SO4,,,,,,,,75.0,10000.0,MILD,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene‐Reduced Graphene Oxide Micro‐Supercapacitor,Asymmetric Flexible MXene-Reduced Graphene Oxide Micro-Supercapacitor,2026-03-08T15:48:18.759756,gemini-3.1-pro-preview
Ti3C2Tx,6 M KOH,,,416.3,65.0,140.0,,0.2,100.0,10000.0,Hydrothermal,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline-MXene,Growth of NiCoMn-layered double hydroxides on polyaniline/MXene matrix for high-performance supercapacitor anode materials,2026-03-08T15:48:18.759758,gemini-3.1-pro-preview
