mxene_type,terminations,electrolyte,electrolyte_concentration,thickness_um,deposition_method,annealing_temp_c,annealing_time_min,interlayer_spacing_nm,specific_surface_area_m2g,pore_volume_cm3g,optical_transmittance,sheet_resistance_ohm_sq,areal_capacitance_mf_cm2,esr_ohm,rate_capability_percent,cycle_life_cycles
V2CTx,mixed,3 M KOH,0.0,0.0,Solvothermal,180.0,0.0,0.0,971.0,0.0,0.0,0.0,960.0,2.0,80.0,22661
V2CTx,mixed,3 M KOH,0.0,0.0,Solvothermal,180.0,0.0,0.0,20.5,0.0,0.0,0.0,787.5,2.0,80.0,22661
V2CTx,mixed,3 M KOH,0.0,0.0,Solvothermal,180.0,0.0,0.0,971.0,0.0,0.0,0.0,379.0,2.0,80.0,70981
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,MILD,50.0,0.0,0.0,20.5,0.0,0.0,0.0,320.0,2.0,80.0,100000
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,MILD,50.0,0.0,0.0,20.5,0.0,0.0,0.0,525.0,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,MILD,50.0,0.0,0.0,20.5,0.0,0.0,0.0,416.0,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,MILD,190.0,0.0,0.0,20.5,0.0,0.0,0.0,139.5,2.0,80.0,29590
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,MILD,190.0,0.0,0.0,20.5,0.0,0.0,0.0,117.0,2.0,80.0,22661
Ti3C2Tx,mixed,PVA/H2SO4 gel,0.0,0.0,MILD,190.0,0.0,0.0,20.5,0.0,0.0,0.0,60.0,2.0,80.0,22661
Ti3C2Tx,mixed,PVA/H2SO4 gel,0.0,0.0,MILD,190.0,0.0,0.0,20.5,0.0,0.0,0.0,50.0,2.0,80.0,22661
Ti3C2Tx,mixed,PVA/H2SO4,0.0,0.0,MILD,190.0,0.0,0.0,20.5,0.0,0.0,0.0,2.4,2.0,80.0,73259
Ti3C2Tx,mixed,PVA/H2SO4,0.0,0.0,MILD,190.0,0.0,0.0,20.5,0.0,0.0,0.0,379.0,2.0,80.0,43503
Ti3C2Tx,mixed,PVA/H2SO4,0.0,0.0,MILD,190.0,0.0,0.0,20.5,0.0,0.0,0.0,379.0,2.0,80.0,7756
Ti3C2Tx,mixed,6 M KOH,0.0,0.0,Hydrothermal,140.0,0.0,0.0,65.0,0.0,0.0,0.0,624.45,2.0,80.0,100000
Ti3C2Tx,mixed,PVA/KOH gel,0.0,0.0,Hydrothermal,140.0,0.0,0.0,20.5,0.0,0.0,0.0,829.6500000000001,2.0,80.0,100000
Ti3C2Tx,mixed,6 M KOH,0.0,0.0,Hydrothermal,140.0,0.0,0.0,20.5,0.0,0.0,0.0,502.5,2.0,80.0,22661
Ti3C2Tx,mixed,6 mol/L KOH,0.0,0.0,Electrostatic self-assembly,180.0,0.0,0.0,20.5,0.0,0.0,0.0,2165.3999999999996,2.0,80.0,20486
Ti3C2Tx,mixed,6 mol/L KOH,0.0,0.0,Electrostatic self-assembly,180.0,0.0,0.0,20.5,0.0,0.0,0.0,1856.3999999999999,2.0,80.0,22661
Ti3C2Tx,mixed,6 mol/L KOH,0.0,0.0,Electrostatic self-assembly,180.0,0.0,0.0,20.5,0.0,0.0,0.0,1783.3500000000001,2.0,80.0,22661
Ti3C2Tx,mixed,6 mol/L KOH,0.0,0.0,LiF/HCl etching,50.0,0.0,0.0,20.5,0.0,0.0,0.0,578.55,2.0,80.0,4604
Ti3C2Tx,mixed,6 mol/L KOH,0.0,0.0,Asymmetric Supercapacitor Assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,224.85000000000002,2.0,80.0,11852
Ti3C2Tx,mixed,1 M KOH,0.0,0.0,"Selective etching of Ti3AlC2 with HF, DMSO intercalation, and weak sonication",190.0,0.0,0.0,10.0,0.0,0.0,0.0,379.0,2.0,80.0,30430
Ti3C2Tx,mixed,1 M KOH,0.0,0.0,Hydrothermal method to grow Ni(OH)2 on Ti3C2Tx followed by thermal annealing at 400 C for 1 h to form Ni-dMXNC,400.0,0.0,0.0,77.5,0.0,0.0,0.0,379.0,2.0,80.0,3178
Ti3C2Tx,mixed,1 M KOH,0.0,0.0,Assembly of asymmetric supercapacitor (ASC) using Ni-dMXNC as positive electrode and Ti3C2Tx MXene as negative electrode,190.0,0.0,0.0,20.5,0.0,0.0,0.0,379.0,2.0,80.0,3410
Ti3C2,mixed,6 M KOH,0.0,0.0,solvothermal,190.0,0.0,0.0,20.5,0.0,0.0,0.0,350.0,2.0,80.0,22661
Ti3C2,mixed,6 M KOH,0.0,0.0,solvothermal,190.0,0.0,0.0,20.5,0.0,0.0,0.0,3300.0,2.0,80.0,4790
Ti3C2,mixed,6 M KOH,0.0,0.0,solvothermal,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1350.0,2.0,80.0,22661
Ti3C2,mixed,PAAm-KOH hydrogel,0.0,0.0,solvothermal,190.0,0.0,0.0,20.5,0.0,0.0,0.0,335.0,2.0,80.0,6256
Ti3C2,mixed,3 M KOH,0.0,0.0,solve-thermal,190.0,0.0,0.0,57.5,0.0,0.0,0.0,1722.1799999999998,2.0,80.0,22661
Ti3C2,mixed,3 M KOH,0.0,0.0,solve-thermal,190.0,0.0,0.0,57.5,0.0,0.0,0.0,1972.59,2.0,80.0,22661
V2CTx,mixed,1 M H2SO4,0.0,0.0,hydrothermal,190.0,0.0,0.0,20.5,0.0,0.0,0.0,889.3499999999999,2.0,80.0,22661
Ti3C2,mixed,3 M H2SO4,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,2414.25,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,409.04999999999995,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,669.27,2.0,80.0,22661
MXene,mixed,6 M KOH,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,234.0,2.0,80.0,22661
Ti3C2Tx,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,622.5,2.0,80.0,38122
MXene,mixed,,0.0,0.0,photochemical,190.0,0.0,0.0,20.5,0.0,0.0,0.0,736.5,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,862.5,2.0,80.0,22661
MXene,mixed,,0.0,0.0,ammonium salt decomposition,350.0,0.0,0.0,20.5,0.0,0.0,0.0,673.5,2.0,80.0,22661
MXene,mixed,1 M ZnSO4,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,371.85,2.0,80.0,22661
MXene,mixed,3 M H2SO4,0.0,0.0,heat treatment,190.0,0.0,0.0,20.5,0.0,0.0,0.0,449.28,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,2773.5,2.0,80.0,22661
MXene,mixed,1 M H2SO4,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,510.0,2.0,80.0,100000
MXene,mixed,1 M H2SO4,0.0,0.0,ammonia annealing,190.0,0.0,0.0,20.5,0.0,0.0,0.0,288.0,2.0,80.0,22661
V4C3Tx,mixed,,0.0,0.0,ammonia annealing,350.0,0.0,0.0,20.5,0.0,0.0,0.0,315.0,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,399.75,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,1920.0,2.0,80.0,22661
MXene,mixed,H2SO4,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,694.5,2.0,80.0,23121
MXene,mixed,6 M KOH,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,370.5,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,490.5,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,285.0,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,627.5999999999999,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,124.19999999999999,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,390.0,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,498.0,2.0,80.0,100000
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,375.0,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,225.495,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,222.0,2.0,80.0,22661
MXene,mixed,KNO3,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,117.0,2.0,80.0,55274
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,685.5,2.0,80.0,22661
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,250.79999999999998,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,,400.0,0.0,0.0,20.5,0.0,0.0,0.0,742.5,2.0,80.0,66271
MXene,mixed,,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,712.5,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,51.0,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,HF etching and ammonia annealing,200.0,0.0,0.0,20.5,0.0,0.0,0.0,288.0,2.0,80.0,26761
N-Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,HF etching and ammonia annealing,200.0,0.0,0.0,20.5,0.0,0.0,0.0,192.0,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,HF etching and ammonia annealing,300.0,0.0,0.0,20.5,0.0,0.0,0.0,67.5,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,HF etching and ammonia annealing,500.0,0.0,0.0,20.5,0.0,0.0,0.0,30.0,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,HF etching and ammonia annealing,700.0,0.0,0.0,20.5,0.0,0.0,0.0,15.0,2.0,80.0,22661
Ti3C2Tx,mixed,1 M MgSO4,0.0,0.0,HF etching,190.0,0.0,0.0,20.5,0.0,0.0,0.0,78.0,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M MgSO4,0.0,0.0,HF etching and ammonia annealing,200.0,0.0,0.0,20.5,0.0,0.0,0.0,123.0,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M MgSO4,0.0,0.0,HF etching and ammonia annealing,300.0,0.0,0.0,20.5,0.0,0.0,0.0,96.0,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M MgSO4,0.0,0.0,HF etching and ammonia annealing,500.0,0.0,0.0,20.5,0.0,0.0,0.0,15.0,2.0,80.0,22661
N-Ti3C2Tx,mixed,1 M MgSO4,0.0,0.0,HF etching and ammonia annealing,700.0,0.0,0.0,20.5,0.0,0.0,0.0,19.5,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,Electrospinning and carbonization,190.0,0.0,0.0,20.5,0.0,0.0,0.0,205.0,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,Electrospinning and carbonization,800.0,0.0,0.0,20.5,0.0,0.0,0.0,239.0,2.0,80.0,22661
Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,Electrospinning and carbonization,190.0,0.0,0.0,20.5,0.0,0.0,0.0,244.0,2.0,80.0,22661
ZnO QDs/Ti3C2Tx,mixed,1.5 M Na2SO4,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,252.991,0.0,0.0,0.0,457.5,2.0,80.0,34196
Ti3C2Tx,mixed,1.5 M Na2SO4,0.0,0.0,LiF and HCl etching,190.0,0.0,0.0,42.73,0.0,0.0,0.0,188.805,2.0,80.0,22661
ZnO QDs/Ti3C2Tx,mixed,1 M H2SO4,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,891.0,2.0,80.0,22661
ZnO QDs/Ti3C2Tx,mixed,PVA-Na2SO4 gel,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,61.5,2.0,80.0,16443
ZnO QDs/Ti3C2Tx (Zn1M3),mixed,1.5 M Na2SO4,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,525.0,2.0,80.0,22661
ZnO QDs/Ti3C2Tx (Zn2M3),mixed,1.5 M Na2SO4,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,405.0,2.0,80.0,22661
ZnO QDs/Ti3C2Tx (Zn3M3),mixed,1.5 M Na2SO4,0.0,0.0,electrostatic self-assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,264.0,2.0,80.0,22661
MgV2O6,mixed,2M KOH,0.0,0.0,hydrothermal,600.0,0.0,0.0,16.65,0.0,0.0,0.0,736.5,2.0,80.0,21638
MgV2O6/Ti3C2,mixed,2M KOH,0.0,0.0,hydrothermal followed by sonication,600.0,0.0,0.0,22.13,0.0,0.0,0.0,1182.0,2.0,80.0,29077
MgV2O6/Ti3C2//AC,mixed,2M KOH,0.0,0.0,aqueous hybrid supercapacitor assembly,190.0,0.0,0.0,20.5,0.0,0.0,0.0,200.10000000000002,2.0,80.0,15374
NiFe-LDH/MXene,mixed,1M KOH,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,815.115,2.0,80.0,1916
MoO3/MXene,mixed,2M KOH,0.0,0.0,,190.0,0.0,0.0,20.5,0.0,0.0,0.0,842.46,2.0,80.0,4005
