mxene_type,terminations,electrolyte,electrolyte_concentration,thickness_um,deposition_method,annealing_temp_c,annealing_time_min,interlayer_spacing_nm,specific_surface_area_m2g,pore_volume_cm3g,optical_transmittance,sheet_resistance_ohm_sq,areal_capacitance_mf_cm2,esr_ohm,rate_capability_percent,cycle_life_cycles
V2CTx,mixed,3 M KOH,1.0,5.0,Solvothermal,180.0,60.0,1.2,971.0,0.1,80.0,50.0,960.0,2.0,80.0,22202
V2CTx,mixed,3 M KOH,1.0,5.0,Solvothermal,180.0,60.0,1.2,20.5,0.1,80.0,50.0,787.5,2.0,80.0,22202
V2CTx,mixed,3 M KOH,1.0,5.0,Solvothermal,180.0,60.0,1.2,971.0,0.1,80.0,50.0,381.0,2.0,80.0,70981
Ti3C2Tx,mixed,1 M H2SO4,1.0,5.0,MILD,50.0,60.0,1.2,20.5,0.1,80.0,50.0,320.0,2.0,80.0,100000
Ti3C2Tx,mixed,1 M H2SO4,1.0,5.0,MILD,50.0,60.0,1.2,20.5,0.1,80.0,50.0,525.0,2.0,80.0,22202
Ti3C2Tx,mixed,1 M H2SO4,1.0,5.0,MILD,50.0,60.0,1.2,20.5,0.1,80.0,50.0,416.0,2.0,80.0,22202
Ti3C2Tx,mixed,1 M H2SO4,1.0,5.0,MILD,180.0,60.0,1.2,20.5,0.1,80.0,50.0,139.5,2.0,80.0,29590
Ti3C2Tx,mixed,1 M H2SO4,1.0,5.0,MILD,180.0,60.0,1.2,20.5,0.1,80.0,50.0,117.0,2.0,80.0,22202
Ti3C2Tx,mixed,PVA/H2SO4 gel,1.0,5.0,MILD,180.0,60.0,1.2,20.5,0.1,80.0,50.0,60.0,2.0,80.0,22202
Ti3C2Tx,mixed,PVA/H2SO4 gel,1.0,5.0,MILD,180.0,60.0,1.2,20.5,0.1,80.0,50.0,50.0,2.0,80.0,22202
Ti3C2Tx,mixed,PVA/H2SO4,1.0,5.0,MILD,180.0,60.0,1.2,20.5,0.1,80.0,50.0,2.4,2.0,80.0,73259
Ti3C2Tx,mixed,PVA/H2SO4,1.0,5.0,MILD,180.0,60.0,1.2,20.5,0.1,80.0,50.0,381.0,2.0,80.0,43503
Ti3C2Tx,mixed,PVA/H2SO4,1.0,5.0,MILD,180.0,60.0,1.2,20.5,0.1,80.0,50.0,381.0,2.0,80.0,7756
Ti3C2Tx,mixed,6 M KOH,1.0,5.0,Hydrothermal,140.0,60.0,1.2,65.0,0.1,80.0,50.0,624.45,2.0,80.0,100000
Ti3C2Tx,mixed,PVA/KOH gel,1.0,5.0,Hydrothermal,140.0,60.0,1.2,20.5,0.1,80.0,50.0,829.6500000000001,2.0,80.0,100000
Ti3C2Tx,mixed,6 M KOH,1.0,5.0,Hydrothermal,140.0,60.0,1.2,20.5,0.1,80.0,50.0,502.5,2.0,80.0,22202
Ti3C2Tx,mixed,6 mol/L KOH,1.0,5.0,Electrostatic self-assembly,180.0,60.0,1.2,20.5,0.1,80.0,50.0,2165.3999999999996,2.0,80.0,20486
Ti3C2Tx,mixed,6 mol/L KOH,1.0,5.0,Electrostatic self-assembly,180.0,60.0,1.2,20.5,0.1,80.0,50.0,1856.3999999999999,2.0,80.0,22202
Ti3C2Tx,mixed,6 mol/L KOH,1.0,5.0,Electrostatic self-assembly,180.0,60.0,1.2,20.5,0.1,80.0,50.0,1783.3500000000001,2.0,80.0,22202
Ti3C2Tx,mixed,6 mol/L KOH,1.0,5.0,LiF/HCl etching,50.0,60.0,1.2,20.5,0.1,80.0,50.0,578.55,2.0,80.0,4604
Ti3C2Tx,mixed,6 mol/L KOH,1.0,5.0,Hydrothermal,180.0,60.0,1.2,20.5,0.1,80.0,50.0,1071.9,2.0,80.0,5875
Ti3C2Tx,mixed,6 mol/L KOH,1.0,5.0,Asymmetric Supercapacitor Assembly,180.0,60.0,1.2,20.5,0.1,80.0,50.0,224.85000000000002,2.0,80.0,11852
Ti3C2Tx,mixed,1 M KOH,1.0,5.0,"Selective etching of Ti3AlC2 with HF, DMSO intercalation, and weak sonication",180.0,60.0,1.2,10.0,0.1,80.0,50.0,381.0,2.0,80.0,30430
